Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags
IMG_0027;02/05/2018  12:19:46;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;430 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0027.JPG;placeID: 111
IMG_0026;02/05/2018  12:19:46;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;430 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0026.JPG;placeID: 111
IMG_0028;02/05/2018  12:19:47;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;431 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0028.JPG;placeID: 111
IMG_0030;02/05/2018  12:19:48;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;448 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0030.JPG;placeID: 111
IMG_0029;02/05/2018  12:19:48;1/30;-;-;-;-;-;Not fired, auto mode;-;-;800;-;2048 x 1536;430 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0029.JPG;placeID: 111
IMG_0031;02/05/2018  12:19:55;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;882 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0031.JPG;placeID: 111
IMG_0032;02/05/2018  12:19:58;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;882 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0032.JPG;placeID: 111
IMG_0033;02/05/2018  12:19:59;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;882 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0033.JPG;placeID: 111
IMG_0034;02/05/2018  12:20:00;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;883 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0034.JPG;placeID: 111
IMG_0035;02/05/2018  12:20:01;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;883 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0035.JPG;placeID: 111
IMG_0036;02/05/2018  12:20:02;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;885 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0036.JPG;placeID: 111
IMG_0037;02/05/2018  12:20:03;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;886 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0037.JPG;placeID: 111
IMG_0038;02/05/2018  12:20:04;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;887 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0038.JPG;placeID: 111
IMG_0039;02/05/2018  12:20:05;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;891 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0039.JPG;placeID: 111
IMG_0040;02/05/2018  12:20:06;1/262;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;893 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0040.JPG;placeID: 111
IMG_0041;02/05/2018  12:20:09;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;883 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0041.JPG;placeID: 111
IMG_0042;02/05/2018  12:20:10;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;888 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0042.JPG;placeID: 111
IMG_0043;02/05/2018  12:20:11;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;898 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0043.JPG;placeID: 111
IMG_0044;02/05/2018  12:20:12;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;903 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0044.JPG;placeID: 111
IMG_0045;02/05/2018  12:20:13;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;907 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0045.JPG;placeID: 111
IMG_0046;02/05/2018  12:20:15;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;910 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0046.JPG;placeID: 111
IMG_0047;02/05/2018  12:20:16;1/279;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;911 KB;D:\Hampstead Heath Survey photos\111_HH_17_5_18_T\100RECNX\IMG_0047.JPG;placeID: 111
