Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags

IMG_0001;19/04/2018  13:36:09;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;600 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0001.JPG;placeID: 41
IMG_0003;19/04/2018  13:36:10;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;595 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0003.JPG;placeID: 41
IMG_0002;19/04/2018  13:36:10;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;596 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0002.JPG;placeID: 41
IMG_0004;19/04/2018  13:36:11;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;594 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0004.JPG;placeID: 41
IMG_0005;19/04/2018  13:36:12;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;596 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0005.JPG;placeID: 41
IMG_0006;19/04/2018  13:36:12;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;596 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0006.JPG;placeID: 41
IMG_0007;19/04/2018  13:36:13;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;596 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0007.JPG;placeID: 41
IMG_0009;19/04/2018  13:36:14;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;584 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0009.JPG;placeID: 41
IMG_0008;19/04/2018  13:36:14;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;595 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0008.JPG;placeID: 41
IMG_0010;19/04/2018  13:36:15;1/508;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;621 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0010.JPG;placeID: 41
IMG_0011;19/04/2018  13:38:10;1/540;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;572 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0011.JPG;placeID: 41
IMG_0012;19/04/2018  13:38:11;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;556 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0012.JPG;placeID: 41
IMG_0014;19/04/2018  13:38:15;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;490 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0014.JPG;placeID: 41
IMG_0013;19/04/2018  13:38:15;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;567 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0013.JPG;placeID: 41
IMG_0015;19/04/2018  13:38:16;1/60;-;-;-;-;-;Not fired, auto mode;-;-;100;-;2048 x 1536;220 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0015.JPG;placeID: 41
IMG_0016;19/04/2018  13:38:18;1/60;-;-;-;-;-;Not fired, auto mode;-;-;100;-;2048 x 1536;219 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0016.JPG;placeID: 41
IMG_0018;19/04/2018  13:38:19;1/60;-;-;-;-;-;Not fired, auto mode;-;-;100;-;2048 x 1536;207 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0018.JPG;placeID: 41
IMG_0017;19/04/2018  13:38:19;1/60;-;-;-;-;-;Not fired, auto mode;-;-;100;-;2048 x 1536;209 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0017.JPG;placeID: 41
IMG_0019;19/04/2018  13:38:20;1/60;-;-;-;-;-;Not fired, auto mode;-;-;100;-;2048 x 1536;190 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0019.JPG;placeID: 41
IMG_0020;19/04/2018  13:38:21;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;552 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0020.JPG;placeID: 41
IMG_0021;19/04/2018  13:38:23;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;580 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0021.JPG;placeID: 41
IMG_0022;19/04/2018  13:38:24;1/576;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;599 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0022.JPG;placeID: 41
IMG_0023;19/04/2018  13:38:25;1/617;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;510 KB;D:\Hampstead Heath Survey photos\41_60\41_HH_2_5_18_BTCF\100RECNX\IMG_0023.JPG;placeID: 41
