Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags

IMG_0001;19/04/2018  13:53:19;1/120;-;-;-;-;-;Not fired, auto mode;-;-;64;-;2048 x 1536;774 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0001.JPG;placeID: 42
IMG_0002;19/04/2018  13:53:22;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;798 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0002.JPG;placeID: 42
IMG_0003;19/04/2018  13:53:24;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;830 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0003.JPG;placeID: 42
IMG_0004;19/04/2018  13:53:25;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;827 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0004.JPG;placeID: 42
IMG_0005;19/04/2018  13:53:26;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;829 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0005.JPG;placeID: 42
IMG_0006;19/04/2018  13:53:27;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;829 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0006.JPG;placeID: 42
IMG_0007;19/04/2018  13:53:28;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;831 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0007.JPG;placeID: 42
IMG_0008;19/04/2018  13:53:29;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;808 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0008.JPG;placeID: 42
IMG_0009;19/04/2018  13:53:30;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;791 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0009.JPG;placeID: 42
IMG_0010;19/04/2018  13:53:31;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;832 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0010.JPG;placeID: 42
IMG_0011;19/04/2018  13:53:43;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;701 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0011.JPG;placeID: 42
IMG_0012;19/04/2018  13:53:44;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;535 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0012.JPG;placeID: 42
IMG_0013;19/04/2018  13:53:45;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;579 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0013.JPG;placeID: 42
IMG_0014;19/04/2018  13:53:46;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;581 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0014.JPG;placeID: 42
IMG_0015;19/04/2018  13:53:47;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;587 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0015.JPG;placeID: 42
IMG_0017;19/04/2018  13:53:48;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;631 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0017.JPG;placeID: 42
IMG_0016;19/04/2018  13:53:48;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;583 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0016.JPG;placeID: 42
IMG_0018;19/04/2018  13:53:50;1/166;-;-;-;-;-;Not fired, auto mode;-;-;50;-;2048 x 1536;455 KB;D:\Hampstead Heath Survey photos\41_60\42_HH_2_5_18_BTCF\IMG_0018.JPG;placeID: 42
