Photo;Date and Time;Exp. Time;F/Stop;Exp. Program;Exp. Bias;Metering Mode;Light Source;Flash;Focal Length;Focal Length (35 mm);ISO Speed;Orientation;Dimensions;File Size;Path;Tags

IMG_0001;18/04/2018  12:21:19;1/240;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;426 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0001.JPG;placeID: 29
IMG_0002;18/04/2018  12:21:20;1/376;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;293 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0002.JPG;placeID: 29
IMG_0003;18/04/2018  12:21:21;1/288;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;242 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0003.JPG;placeID: 29
IMG_0004;18/04/2018  12:21:22;1/617;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;218 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0004.JPG;placeID: 29
IMG_0005;18/04/2018  12:21:23;1/360;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;382 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0005.JPG;placeID: 29
IMG_0006;18/04/2018  12:21:24;1/137;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;275 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0006.JPG;placeID: 29
IMG_0007;18/04/2018  12:21:25;1/120;-;-;-;-;-;Not fired, auto mode;-;-;50;-;1920 x 1080;325 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0007.JPG;placeID: 29
IMG_0008;18/04/2018  12:21:26;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;520 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0008.JPG;placeID: 29
IMG_0009;18/04/2018  12:21:28;1/60;-;-;-;-;-;Not fired, auto mode;-;-;125;-;1920 x 1080;242 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0009.JPG;placeID: 29
IMG_0010;18/04/2018  12:21:29;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;503 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0010.JPG;placeID: 29
IMG_0011;18/04/2018  12:21:32;1/102;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;320 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0011.JPG;placeID: 29
IMG_0012;18/04/2018  12:21:33;1/36;-;-;-;-;-;Not fired, auto mode;-;-;200;-;1920 x 1080;146 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0012.JPG;placeID: 29
IMG_0013;18/04/2018  12:21:35;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;498 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0013.JPG;placeID: 29
IMG_0014;18/04/2018  12:21:37;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;543 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0014.JPG;placeID: 29
IMG_0015;18/04/2018  12:21:38;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;564 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0015.JPG;placeID: 29
IMG_0016;18/04/2018  12:21:39;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;554 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0016.JPG;placeID: 29
IMG_0017;18/04/2018  12:21:40;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;516 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0017.JPG;placeID: 29
IMG_0018;18/04/2018  12:21:41;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;564 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0018.JPG;placeID: 29
IMG_0019;18/04/2018  12:21:42;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;564 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0019.JPG;placeID: 29
IMG_0020;18/04/2018  12:21:43;1/120;-;-;-;-;-;Not fired, auto mode;-;-;80;-;1920 x 1080;565 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0020.JPG;placeID: 29
IMG_0021;18/04/2018  12:23:29;1/115;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;531 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0021.JPG;placeID: 29
IMG_0022;18/04/2018  12:23:30;1/115;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;504 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0022.JPG;placeID: 29
IMG_0023;18/04/2018  12:23:31;1/94;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;448 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0023.JPG;placeID: 29
IMG_0024;18/04/2018  12:23:32;1/80;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;460 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0024.JPG;placeID: 29
IMG_0026;18/04/2018  12:23:34;1/80;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;433 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0026.JPG;placeID: 29
IMG_0025;18/04/2018  12:23:34;1/80;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;455 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0025.JPG;placeID: 29
IMG_0027;18/04/2018  12:23:35;1/94;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;454 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0027.JPG;placeID: 29
IMG_0028;18/04/2018  12:23:37;1/94;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;448 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0028.JPG;placeID: 29
IMG_0029;18/04/2018  12:23:37;1/94;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;486 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0029.JPG;placeID: 29
IMG_0030;18/04/2018  12:23:38;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;479 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0030.JPG;placeID: 29
IMG_0031;18/04/2018  12:23:40;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;460 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0031.JPG;placeID: 29
IMG_0033;18/04/2018  12:23:41;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;500 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0033.JPG;placeID: 29
IMG_0032;18/04/2018  12:23:41;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;475 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0032.JPG;placeID: 29
IMG_0034;18/04/2018  12:23:42;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;515 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0034.JPG;placeID: 29
IMG_0035;18/04/2018  12:23:44;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;487 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0035.JPG;placeID: 29
IMG_0036;18/04/2018  12:23:45;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;488 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0036.JPG;placeID: 29
IMG_0038;18/04/2018  12:23:46;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;512 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0038.JPG;placeID: 29
IMG_0037;18/04/2018  12:23:46;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;492 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0037.JPG;placeID: 29
IMG_0039;18/04/2018  12:23:47;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;521 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0039.JPG;placeID: 29
IMG_0040;18/04/2018  12:23:48;1/114;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;522 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0040.JPG;placeID: 29
IMG_0041;18/04/2018  12:23:50;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;518 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0041.JPG;placeID: 29
IMG_0042;18/04/2018  12:23:51;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;520 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0042.JPG;placeID: 29
IMG_0043;18/04/2018  12:23:53;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;500 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0043.JPG;placeID: 29
IMG_0044;18/04/2018  12:23:54;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;508 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0044.JPG;placeID: 29
IMG_0045;18/04/2018  12:23:55;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;513 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0045.JPG;placeID: 29
IMG_0046;18/04/2018  12:23:56;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;514 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0046.JPG;placeID: 29
IMG_0047;18/04/2018  12:23:57;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;514 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0047.JPG;placeID: 29
IMG_0049;18/04/2018  12:23:58;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;515 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0049.JPG;placeID: 29
IMG_0048;18/04/2018  12:23:58;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;518 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0048.JPG;placeID: 29
IMG_0050;18/04/2018  12:23:59;1/120;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;510 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0050.JPG;placeID: 29
IMG_0051;18/04/2018  12:24:01;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;536 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0051.JPG;placeID: 29
IMG_0052;18/04/2018  12:24:02;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;535 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0052.JPG;placeID: 29
IMG_0053;18/04/2018  12:24:03;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;537 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0053.JPG;placeID: 29
IMG_0054;18/04/2018  12:24:04;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;538 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0054.JPG;placeID: 29
IMG_0055;18/04/2018  12:24:05;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;547 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0055.JPG;placeID: 29
IMG_0056;18/04/2018  12:24:06;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;536 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0056.JPG;placeID: 29
IMG_0057;18/04/2018  12:24:07;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;533 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0057.JPG;placeID: 29
IMG_0058;18/04/2018  12:24:08;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;533 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0058.JPG;placeID: 29
IMG_0059;18/04/2018  12:24:10;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;534 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0059.JPG;placeID: 29
IMG_0060;18/04/2018  12:24:11;1/111;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;524 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0060.JPG;placeID: 29
IMG_0061;18/04/2018  12:24:15;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;535 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0061.JPG;placeID: 29
IMG_0062;18/04/2018  12:24:16;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;543 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0062.JPG;placeID: 29
IMG_0063;18/04/2018  12:24:17;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;544 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0063.JPG;placeID: 29
IMG_0064;18/04/2018  12:24:18;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;543 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0064.JPG;placeID: 29
IMG_0065;18/04/2018  12:24:19;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;545 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0065.JPG;placeID: 29
IMG_0066;18/04/2018  12:24:21;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;556 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0066.JPG;placeID: 29
IMG_0067;18/04/2018  12:24:22;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;558 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0067.JPG;placeID: 29
IMG_0068;18/04/2018  12:24:23;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;559 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0068.JPG;placeID: 29
IMG_0069;18/04/2018  12:24:24;1/109;-;-;-;-;-;Not fired, auto mode;-;-;100;-;1920 x 1080;557 KB;D:\Hampstead Heath Survey photos\21_40\29_HH_2_5_18_BTCF\100RECNX\IMG_0069.JPG;placeID: 29
